lemma,plural,stem_final,opportunity,ur,predicted_sr,attested_sr,category,normalisations,ipa_edit,feature_edit,rule_edit,total_distance,cluster
gamet,gameți,t,i,ɡami,ɡamj,ɡamet͡si,RULE_FAILURE,,5.0,5.0,1,3.8,
gavanos,gavanoase,s,e,ɡavanose,ɡavanose,ɡavanoase,RULE_FAILURE,,1.0,0.0,0,0.2,
gașcă,găști,c,i,ɡaʃKi,ɡaʃtj,ɡəʃti,NORM_TRAILING_GLIDE,"TRAILING_GLIDE,UNSTRESSED_SCHWA",0.0,0.0,0,0.0,
geambașlâc,geambașlâcuri,c,uri,d͡ʒambaʃlɨkuri,d͡ʒambaʃlɨkurj,d͡ʒambaʃlɨkuri,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,1,0.3,
gelat,gelați,t,i,ʒəlaTi,ʒəlat͡sj,d͡ʒelat͡si,RULE_FAILURE,,4.0,0.0,0,0.8,
gemelitate,gemelitatăți,t,i,d͡ʒemelitaTi,d͡ʒemelitat͡sj,d͡ʒemelitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
gemet,gemete,t,e,jemete,jemete,d͡ʒemete,RULE_FAILURE,,3.0,0.0,0,0.6,
genealog,genealogi,g,i,ɡenealoGi,ɡenealod͡ʒj,d͡ʒenealod͡ʒi,RULE_FAILURE,,4.0,0.0,0,0.8,
geolog,geologi,g,i,d͡ʒeoloGi,d͡ʒeolod͡ʒj,d͡ʒolod͡ʒi,RULE_FAILURE,,2.0,0.0,0,0.4,
geologă,geologe,g,e,d͡ʒeoloGe,d͡ʒeolod͡ʒe,d͡ʒolod͡ʒe,RULE_FAILURE,,1.0,0.0,0,0.2,
geomorfolog,geomorfologi,g,i,ɡeomorfoloGi,ɡeomorfolod͡ʒj,d͡ʒomorfolod͡ʒi,RULE_FAILURE,,4.0,0.0,0,0.8,
ghaneză,ghaneze,z,e,ɡaneze,ɡaneze,ɡhaneze,RULE_FAILURE,,1.0,0.0,0,0.2,
ghemotoc,ghemotoace,c,e,ɡemotoKe,ɡemotot͡ʃe,ɡemotoat͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
gheomotoc,gheomotoace,c,e,ɡeomotoKe,ɡeomotot͡ʃe,ɡeomotoat͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
ghetou,ghetouri,t,uri,ɡetowuri,ɡetowurj,ɡetouri,RULE_FAILURE,,2.0,0.0,0,0.4,
ghidușlâc,ghidușlâcuri,c,uri,ɡiduʃlɨkuri,ɡiduʃlɨkurj,ɡiduʃlɨkuri,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,1,0.3,
ghiomotoc,ghiomotoace,c,e,ɡiomotoKe,ɡiomotot͡ʃe,ɡiomotoat͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
giletcă,giletci,c,i,d͡ʒileTKi,d͡ʒilet͡st͡ʃj,d͡ʒilett͡ʃi,RULE_FAILURE,,3.0,0.0,1,0.9,
giumbușluc,giumbușlucuri,c,uri,d͡ʒiumbuʃlukuri,d͡ʒiumbuʃlukurj,d͡ʒiumbuʃlukuri,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,1,0.3,
giurământ,giurăminte,t,e,d͡ʒiurəmɨnte,d͡ʒiurəmɨnte,d͡ʒiurəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
giușcă,giuște,c,e,d͡ʒiuʃKe,d͡ʒiuʃte,d͡ʒiuʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
gobelet,gobeleturi,t,uri,ɡobluri,ɡoblurj,ɡobeleturi,RULE_FAILURE,,4.0,0.0,0,0.8,
gog,gogi,g,i,oGi,od͡ʒj,ɡod͡ʒi,RULE_FAILURE,,2.0,0.0,0,0.4,
gorniceasă,gornicese,s,e,ɡornit͡ʃase,ɡornit͡ʃase,ɡornit͡ʃese,RULE_FAILURE,,1.0,0.0,0,0.2,
gospojdă,gospojde,d,e,ɡospoʒde,ɡospoʒde,ɡospoʒde,RULE_FAILURE,,0.0,0.0,1,0.3,
gotcă,gotci,c,i,ɡoTKi,ɡot͡st͡ʃj,ɡott͡ʃi,RULE_FAILURE,,3.0,0.0,1,0.9,
grajd,grajduri,d,uri,ɡraʒduri,ɡraʒdurj,ɡraʒduri,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,1,0.3,
grunz,grunji,z,i,,,ɡrunʒi,UR_BUILD_FAILED,,,,,,
grămadă,grămezi,d,i,ɡrəmaDi,ɡrəmazj,ɡrəmezi,RULE_FAILURE,,2.0,0.0,0,0.4,
guricică,guricicele,c,e,ɡurit͡ʃiKe,ɡurit͡ʃit͡ʃe,ɡurit͡ʃit͡ʃele,ICA_SUPPLETION,,2.0,6.0,0,3.4,
guvernământ,guvernăminte,t,e,ɡuvernəmɨnte,ɡuvernəmɨnte,ɡuvernəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
găinușcă,găinuște,c,e,ɡəinuʃKe,ɡəinuʃte,ɡəinuʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
gălbenică,gălbele,c,e,ɡəlbeniKe,ɡəlbenit͡ʃe,ɡəlbele,ICA_SUPPLETION,,5.0,6.0,0,4.0,
gălușcă,găluște,c,e,ɡəluʃKe,ɡəluʃte,ɡəluʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
gălămoz,gălămoaze,z,e,ɡələmoze,ɡələmoze,ɡələmoaze,RULE_FAILURE,,1.0,0.0,0,0.2,
găunășită,găunășițe,t,e,ɡəunəʃite,ɡəunəʃite,ɡəunəʃit͡se,RULE_FAILURE,,2.0,1.0,0,0.9,
găvozd,găvoazde,d,e,ɡəvozde,ɡəvozde,ɡəvoazde,RULE_FAILURE,,1.0,0.0,0,0.2,
haciendă,haciende,d,e,hasijende,hasijende,hat͡ʃiende,RULE_FAILURE,,4.0,0.0,0,0.8,
halușcă,halușce,c,e,haluʃKe,haluʃte,haluʃt͡ʃe,RULE_FAILURE,,2.0,3.0,0,1.9,
hamit,hamiți,t,i,heməTi,hemət͡sj,hamit͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
harbuz,harbuji,z,i,harbuzi,harbuzj,harbuʒi,RULE_FAILURE,,2.0,2.0,0,1.4,
hectowatt,hectowați,t,i,ekituot͡ʃii,ekituot͡ʃii,hektowat͡si,RULE_FAILURE,,7.0,2.0,1,2.7,
helvet,helveți,t,i,helvehTi,helveht͡sj,helvet͡si,RULE_FAILURE,,2.0,0.0,0,0.4,
herpes,herpesuri,s,uri,erpəsuri,erpəsurj,herpesuri,RULE_FAILURE,,3.0,0.0,0,0.6,
hiat,hiaturi,t,uri,jaturi,jaturj,hiaturi,RULE_FAILURE,,3.0,0.0,0,0.6,
hoașcă,hoaște,c,e,hoaʃKe,hoaʃte,hoaʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
horboțică,horboțele,c,e,,,horbot͡sele,UR_BUILD_FAILED,,,,,,
hoștează,hoșteze,z,e,hoʃteaze,hoʃteaze,hoʃteze,NORM_EA_MONOPHTHONG,EA_MONOPHTHONG,0.0,0.0,1,0.3,
hrincă,hrinși,c,i,hrinKi,hrint͡ʃj,hrinʃi,RULE_FAILURE,,3.0,1.0,0,1.1,
hristianitate,hristianitatăți,t,i,hristianitaTi,hristianitat͡sj,hristianitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
hrișcă,hriști,c,i,hriʃKi,hriʃtj,hriʃti,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,0,0.0,
hăitușcă,hăituște,c,e,həjtuʃKe,həjtuʃte,həituʃte,NORM_MEDIAL_GLIDE,MEDIAL_GLIDE,0.0,0.0,0,0.0,
iadă,iede,d,e,jade,jade,iede,RULE_FAILURE,,2.0,0.0,0,0.4,
iarmaroc,iarmaroace,c,e,iarmaroKe,iarmarot͡ʃe,iarmaroat͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
iască,iești,s,i,jaSKi,jaʃtj,ieʃti,RULE_FAILURE,,3.0,0.0,0,0.6,sc(ă)+i
ieșeancă,ieșence,c,e,jeʃeanKe,jeʃeant͡ʃe,ieʃent͡ʃe,RULE_FAILURE,,2.0,0.0,0,0.4,
incorectitate,incorectitatăți,t,i,inkorektitaTi,inkorektitat͡sj,inkorektitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
incuriozitate,incuriozitatăți,t,i,inkuriozitaTi,inkuriozitat͡sj,inkuriozitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
indiancă,indience,c,e,indianKe,indiant͡ʃe,indient͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
indigou,indigouri,g,uri,indiɡouuri,indiɡouurj,indiɡouri,RULE_FAILURE,,2.0,0.0,0,0.4,
indoneziancă,indonezience,c,e,indonezianKe,indoneziant͡ʃe,indonezient͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
inepuizabilitate,inepuizabilitatăți,t,i,inepuizabilitaTi,inepuizabilitat͡sj,inepuizabilitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
inexactitate,inexactități,t,i,ineɡzaktitaTi,ineɡzaktitat͡sj,ineksaktitət͡si,RULE_FAILURE,,4.0,0.0,0,0.8,
informitate,informitatăți,t,i,informitaTi,informitat͡sj,informitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
inhalant,inhalanți,t,i,inəlanTi,inəlant͡sj,inhalant͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
interioritate,inferiorități,t,i,interioritaTi,interioritat͡sj,inferioritət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
internat,internate,t,e,intərnate,intərnate,internate,RULE_FAILURE,,1.0,0.0,0,0.2,
internaționalitate,internaționalitatăți,t,i,internat͡sionalitaTi,internat͡sionalitat͡sj,internat͡sionalitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
invertit,invertiți,t,i,imbərtiTi,imbərtit͡sj,invertit͡si,RULE_FAILURE,,4.0,0.0,0,0.8,
invitat,invitați,t,i,imbitaTi,imbitat͡sj,invitat͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
iod,ioturi,d,uri,joduri,jodurj,ioturi,RULE_FAILURE,,3.0,0.0,0,0.6,
ireflexivitate,ireflexivitatăți,t,i,irefleksivitaTi,irefleksivitat͡sj,irefleksivitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
ispisoc,ispisoace,c,e,ispisoKe,ispisot͡ʃe,ispisoat͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
isprăvniceasă,isprăvnicese,s,e,isprəvnit͡ʃase,isprəvnit͡ʃase,isprəvnit͡ʃese,RULE_FAILURE,,1.0,0.0,0,0.2,
iubițică,iubițele,c,e,,,iubit͡sele,UR_BUILD_FAILED,,,,,,
iucunditate,iucunditatăți,t,i,iukunditaTi,iukunditat͡sj,iukunditatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
iușcă,iuște,c,e,iuʃKe,iuʃte,iuʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
izvod,izvoade,d,e,izvode,izvode,izvoade,RULE_FAILURE,,1.0,0.0,0,0.2,
jachețică,jachețele,c,e,,,ʒaket͡sele,UR_BUILD_FAILED,,,,,,
jad,jaduri,d,uri,jaduri,jadurj,ʒaduri,RULE_FAILURE,,2.0,0.0,0,0.4,
jadeit,jadeite,t,e,jadeite,jadeite,ʒadeite,RULE_FAILURE,,1.0,0.0,0,0.2,
jet,jeturi,t,uri,d͡ʒeturi,d͡ʒeturj,ʒeturi,RULE_FAILURE,,3.0,0.0,0,0.6,
jiancă,jience,c,e,ʒianKe,ʒiant͡ʃe,ʒient͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
jigou,jigouri,g,uri,ʒiɡowuri,ʒiɡowurj,ʒiɡouri,RULE_FAILURE,,2.0,0.0,0,0.4,
jiletcă,jiletci,c,i,ʒileTKi,ʒilet͡st͡ʃj,ʒilett͡ʃi,RULE_FAILURE,,3.0,0.0,1,0.9,
jitcă,jitci,c,i,ʒiTKi,ʒit͡st͡ʃj,ʒitt͡ʃi,RULE_FAILURE,,3.0,0.0,1,0.9,
joint,jointuri,t,uri,d͡ʒojnturi,d͡ʒojnturj,ʒointuri,RULE_FAILURE,,4.0,0.0,0,0.8,
jucărică,jucărele,c,e,ʒukəriKe,ʒukərit͡ʃe,ʒukərele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
judeceasă,judecese,s,e,ʒudet͡ʃase,ʒudet͡ʃase,ʒudet͡ʃese,RULE_FAILURE,,1.0,0.0,0,0.2,
junghi,junghiuri,g,uri,ʒunɡuri,ʒunɡurj,ʒunɡiuri,RULE_FAILURE,,2.0,0.0,0,0.4,
jupâneșică,jupâneșele,c,e,ʒupɨneʃiKe,ʒupɨneʃit͡ʃe,ʒupɨneʃele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
jurământ,jurăminte,t,e,ʒurəmɨnte,ʒurəmɨnte,ʒurəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
jăete,jăeteți,t,i,ʒəeTi,ʒəet͡sj,ʒəetet͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
kilocuvânt,kilocuvinte,t,e,kilokuvɨnte,kilokuvɨnte,kilokuvinte,RULE_FAILURE,,1.0,0.0,0,0.2,
kilowatt,kilowați,t,i,kilowaTTi,kilowat͡stj,kilowat͡si,RULE_FAILURE,,2.0,1.0,0,0.9,
knesset,knessete,t,e,knesete,knesete,knessete,RULE_FAILURE,,1.0,0.0,0,0.2,
lambliază,lamblieze,z,e,lambliaze,lambliaze,lamblieze,RULE_FAILURE,,1.0,0.0,0,0.2,
landou,landouri,d,uri,landouuri,landouurj,landouri,RULE_FAILURE,,2.0,0.0,0,0.4,
lapit,lapiți,t,i,lapitlapiTi,lapitlapit͡sj,lapit͡si,RULE_FAILURE,,6.0,0.0,0,1.2,
lasou,lasouri,s,uri,lasouuri,lasouurj,lasouri,RULE_FAILURE,,2.0,0.0,0,0.4,
laureat,laureați,t,i,lawreaTi,lawreat͡sj,laureat͡si,RULE_FAILURE,,2.0,0.0,0,0.4,
laurușcă,lauruște,c,e,lauruʃKe,lauruʃte,lauruʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
lebădă,lebede,d,e,lebəde,lebəde,lebede,RULE_FAILURE,,1.0,0.0,0,0.2,
lebărvurșt,lebărvurști,t,i,lebərvurʃTi,lebərvurʃtj,lebərvurʃti,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,2,0.6,
legământ,legăminte,t,e,leɡəmɨnte,leɡəmɨnte,leɡəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
lemnușcă,lemnuști,c,i,lemnuʃKi,lemnuʃtj,lemnuʃti,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,0,0.0,
lențulete,lențuleteți,t,i,lent͡suleTi,lent͡sulet͡sj,lent͡suletet͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
lesnitate,lesnitatăți,t,i,lesnitaTi,lesnitat͡sj,lesnitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
leucă,leuci,c,i,lewKi,lewt͡ʃj,leut͡ʃi,RULE_FAILURE,,2.0,0.0,0,0.4,
leurdă,leurde,d,e,leurdae,leurdae,leurde,RULE_FAILURE,,1.0,0.0,0,0.2,
lezard,lezardi,d,i,lezarDi,lezarzj,lezardi,RULE_FAILURE,,2.0,2.0,0,1.4,
lied,lieduri,d,uri,liduri,lidurj,lieduri,RULE_FAILURE,,2.0,0.0,0,0.4,
lingou,lingouri,g,uri,linɡowuri,linɡowurj,linɡouri,RULE_FAILURE,,2.0,0.0,0,0.4,
lintou,lintouri,t,uri,lintouuri,lintouurj,lintouri,RULE_FAILURE,,2.0,0.0,0,0.4,
livadă,livezi,d,i,livaDi,livazj,livezi,RULE_FAILURE,,2.0,0.0,0,0.4,
lobbyist,lobbyiști,s,i,lobiiSTi,lobiiʃtj,lobbyiʃti,RULE_FAILURE,,3.0,0.0,0,0.6,st(ă)+i
logofăt,logofeți,t,i,loɡofəTi,loɡofət͡sj,loɡofet͡si,RULE_FAILURE,,2.0,0.0,0,0.4,
lopată,lopeți,t,i,lopaTi,lopat͡sj,lopet͡si,RULE_FAILURE,,2.0,0.0,0,0.4,
lopățică,lopățele,c,e,,,lopət͡sele,UR_BUILD_FAILED,,,,,,
lostricică,lostricicele,c,e,lostrit͡ʃiKe,lostrit͡ʃit͡ʃe,lostrit͡ʃit͡ʃele,ICA_SUPPLETION,,2.0,6.0,0,3.4,
lotcă,lotci,c,i,loTKi,lot͡st͡ʃj,lott͡ʃi,RULE_FAILURE,,3.0,0.0,1,0.9,
luat,luaturi,t,uri,lwaturi,lwaturj,luaturi,RULE_FAILURE,,2.0,0.0,0,0.4,
luddită,luddite,t,e,ludite,ludite,luddite,RULE_FAILURE,,1.0,0.0,0,0.2,
luminicică,luminicicele,c,e,luminit͡ʃiKe,luminit͡ʃit͡ʃe,luminit͡ʃit͡ʃele,ICA_SUPPLETION,,2.0,6.0,0,3.4,
lumânărică,lumânărele,c,e,lumɨnəriKe,lumɨnərit͡ʃe,lumɨnərele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
lușcă,luști,c,i,luʃKi,luʃtj,luʃti,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,0,0.0,
lădicică,lădicicele,c,e,lədit͡ʃiKe,lədit͡ʃit͡ʃe,lədit͡ʃit͡ʃele,ICA_SUPPLETION,,2.0,6.0,0,3.4,
lăsământ,lăsăminte,t,e,ləsəmɨnte,ləsəmɨnte,ləsəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
lătoc,lătoace,c,e,lətoKe,lətot͡ʃe,lətoat͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
mahalagioaică,mahalagioaice,c,e,mahalad͡ʒoajKe,mahalad͡ʒoajt͡ʃe,mahalad͡ʒioait͡ʃe,RULE_FAILURE,,2.0,0.0,0,0.4,
maimuțică,maimuțele,c,e,,,maimut͡sele,UR_BUILD_FAILED,,,,,,
maioreasă,maiorese,s,e,majorease,majorease,maiorese,RULE_FAILURE,,2.0,0.0,0,0.4,
malonestitate,malonestitatăți,t,i,malonestitaTi,malonestitat͡sj,malonestitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
mantou,mantouri,t,uri,mantouuri,mantouurj,mantouri,RULE_FAILURE,,2.0,0.0,0,0.4,
maquis,maquis-uri,s,uri,makisuri,makisurj,maquis-uri,RULE_FAILURE,,4.0,0.0,0,0.8,
marhotcă,marhotci,c,i,marhoTKi,marhot͡st͡ʃj,marhott͡ʃi,RULE_FAILURE,,3.0,0.0,1,0.9,
martirolog,martiroloage,g,e,martiroloGe,martirolod͡ʒe,martiroload͡ʒe,RULE_FAILURE,,1.0,0.0,0,0.2,
marșrut,marșrute,t,e,marʃrute,marʃrute,marʃrute,RULE_FAILURE,,0.0,0.0,1,0.3,
marșrută,marșrute,t,e,marʃrute,marʃrute,marʃrute,RULE_FAILURE,,0.0,0.0,1,0.3,
matcă,mătci,c,i,maTKi,mat͡st͡ʃj,mətt͡ʃi,RULE_FAILURE,,4.0,0.0,1,1.1,
maus,mausuri,s,uri,mawsuri,mawsurj,mausuri,RULE_FAILURE,,2.0,0.0,0,0.4,
mecenat,mecenați,t,i,met͡senaTi,met͡senat͡sj,met͡ʃenat͡si,RULE_FAILURE,,2.0,0.0,0,0.4,
mejdă,mejde,d,e,meʒde,meʒde,meʒde,RULE_FAILURE,,0.0,0.0,1,0.3,
meneșterg,meneșterguri,g,uri,meneʃterɡuri,meneʃterɡurj,meneʃterɡuri,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,1,0.3,
merlot,merlot-uri,t,uri,mərloturi,mərloturj,merlot-uri,RULE_FAILURE,,3.0,0.0,0,0.6,
meștereasă,meșterese,s,e,meʃterease,meʃterease,meʃterese,NORM_EA_MONOPHTHONG,EA_MONOPHTHONG,0.0,0.0,1,0.3,
meșteșug,meșteșuguri,g,uri,meʃteʃuɡuri,meʃteʃuɡurj,meʃteʃuɡuri,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,1,0.3,
microwatt,microwați,t,i,mikrowaTTi,mikrowat͡stj,mikrowat͡si,RULE_FAILURE,,2.0,1.0,0,0.9,
micșorătate,micșorătatăți,t,i,mikʃorətaTi,mikʃorətat͡sj,mikʃorətatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
micșunică,micșunele,c,e,mikʃuniKe,mikʃunit͡ʃe,mikʃunele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
mielușică,mielușele,c,e,mieluʃiKe,mieluʃit͡ʃe,mieluʃele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
mierlușcă,mierluște,c,e,mjerluʃKe,mjerluʃte,mierluʃte,NORM_MEDIAL_GLIDE,MEDIAL_GLIDE,0.0,0.0,0,0.0,
mijloc,mijlocuri,c,uri,miʒlokuri,miʒlokurj,miʒlokuri,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,1,0.3,
miliwatt,miliwați,t,i,miliwaTTi,miliwat͡stj,miliwat͡si,RULE_FAILURE,,2.0,1.0,0,0.9,
minciunică,minciunele,c,e,mint͡ʃiuniKe,mint͡ʃiunit͡ʃe,mint͡ʃiunele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
mititică,mititele,c,e,mititiKe,mititit͡ʃe,mititele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
mixomicetă,moxomicete,t,e,miksomit͡ʃete,miksomit͡ʃete,moksomit͡ʃete,RULE_FAILURE,,1.0,0.0,0,0.2,
mișcământ,mișcăminte,t,e,miʃkəmɨnte,miʃkəmɨnte,miʃkəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
mofluz,mofluji,z,i,mofluzi,mofluzj,mofluʒi,RULE_FAILURE,,2.0,2.0,0,1.4,
monoteist,monoteiști,s,i,monoteiSDi,monoteiʃdj,monoteiʃti,RULE_FAILURE,,2.0,1.0,0,0.9,st(ă)+i
morbozitate,morbozitatăți,t,i,morbozitaTi,morbozitat͡sj,morbozitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
morișcă,moriști,c,i,moriʃKi,moriʃtj,moriʃti,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,0,0.0,
mormânt,morminte,t,e,mormɨnte,mormɨnte,morminte,RULE_FAILURE,,1.0,0.0,0,0.2,
mosc,moscuri,s,uri,muʃuri,muʃurj,moskuri,RULE_FAILURE,,4.0,0.0,0,0.8,
mostoc,mostoace,c,e,mostoKe,mostot͡ʃe,mostoat͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
muc,muci,c,i,mut͡si,mut͡sj,mut͡ʃi,RULE_FAILURE,,2.0,2.0,1,1.7,
mucopolizaharidă,mucopolizaliaride,d,e,mukopolizaharide,mukopolizaharide,mukopolizaliaride,RULE_FAILURE,,2.0,0.0,0,0.4,
muierușcă,muieruște,c,e,mujeruʃKe,mujeruʃte,muieruʃte,NORM_MEDIAL_GLIDE,MEDIAL_GLIDE,0.0,0.0,0,0.0,
must,musturi,s,uri,məsturi,məsturj,musturi,RULE_FAILURE,,2.0,0.0,0,0.4,
mutant,mutanți,t,i,mjutənTi,mjutənt͡sj,mutant͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
muștiuc,muștiucuri,c,uri,muʃtiukuri,muʃtiukurj,muʃtiukuri,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,1,0.3,
muștuc,muștucuri,c,uri,muʃtukuri,muʃtukurj,muʃtukuri,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,1,0.3,
mâncăcios,mâncăcioși,s,i,mɨnkət͡ʃoSi,mɨnkət͡ʃoʃj,mɨnkət͡ʃioʃi,RULE_FAILURE,,2.0,0.0,2,1.0,
mâncărică,mâncărele,c,e,mɨnkəriKe,mɨnkərit͡ʃe,mɨnkərele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
mânecată,mânecațe,t,e,mɨnekate,mɨnekate,mɨnekat͡se,RULE_FAILURE,,2.0,1.0,0,0.9,
mâniac,mânieci,c,i,mɨniaKi,mɨniat͡ʃj,mɨniet͡ʃi,RULE_FAILURE,,2.0,0.0,0,0.4,
mânz,mânji,z,i,mɨnzi,mɨnzj,mɨnʒi,RULE_FAILURE,,2.0,2.0,0,1.4,
măgurică,măgurele,c,e,məɡuriKe,məɡurit͡ʃe,məɡurele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
mănuchi,mănuchiuri,c,uri,mənukuri,mənukurj,mənukiuri,RULE_FAILURE,,2.0,0.0,0,0.4,
mănunche,mănunchiuri,c,uri,mənunkuri,mənunkurj,mənunkiuri,RULE_FAILURE,,2.0,0.0,0,0.4,
mănunchi,mănunchiuri,c,uri,mənunkuri,mənunkurj,mənunkiuri,RULE_FAILURE,,2.0,0.0,0,0.4,
măturișcă,măturiști,c,i,məturiʃKi,məturiʃtj,məturiʃti,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,0,0.0,
mătușică,mătușele,c,e,mətuʃiKe,mətuʃit͡ʃe,mətuʃele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
nadiceancă,nadicence,c,e,nadit͡ʃanKe,nadit͡ʃant͡ʃe,nadit͡ʃent͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
nadișancă,nadișence,c,e,nadiʃanKe,nadiʃant͡ʃe,nadiʃent͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
namiază,namiezi,z,i,namjazi,namjazj,namiezi,RULE_FAILURE,,3.0,0.0,0,0.6,
naz,nazuri,z,uri,nazetməzuri,nazetməzurj,nazuri,RULE_FAILURE,,6.0,0.0,0,1.2,
nazist,naziști,s,i,nasiSTi,nasiʃtj,naziʃti,RULE_FAILURE,,2.0,0.0,0,0.4,st(ă)+i
neexactitate,neexactități,t,i,neeɡzaktitaTi,neeɡzaktitat͡sj,neeksaktitət͡si,RULE_FAILURE,,4.0,0.0,0,0.8,
negrușcă,negruște,c,e,neɡruʃKe,neɡruʃte,neɡruʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
negus,neguși,s,i,niɡəSi,niɡəʃj,neɡuʃi,RULE_FAILURE,,3.0,0.0,2,1.2,
neizbândă,neizbănzi,d,i,neizbɨnDi,neizbɨnzj,neizbənzi,RULE_FAILURE,,2.0,0.0,0,0.4,
neocolonialist,neocolonialiști,s,i,neokolonijaliSTi,neokolonijaliʃtj,neokolonialiʃti,RULE_FAILURE,,2.0,0.0,0,0.4,st(ă)+i
neomalthusianist,neomaltusianiști,s,i,neomalthusianiSTi,neomalthusianiʃtj,neomaltusianiʃti,RULE_FAILURE,,2.0,0.0,0,0.4,st(ă)+i
neponderabilitate,neponderabilitatăți,t,i,neponderabilitaTi,neponderabilitat͡sj,neponderabilitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
nepoțică,nepoțele,c,e,nepot͡siKe,nepot͡sit͡ʃe,nepot͡sele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
nerăutate,nerăutatăți,t,i,nerəutaTi,nerəutat͡sj,nerəutatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
niștotă,niștote,t,e,niʃtote,niʃtote,niʃtote,RULE_FAILURE,,0.0,0.0,1,0.3,
noroc,noroace,c,e,noroKe,norot͡ʃe,noroat͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
norod,noroade,d,e,norode,norode,noroade,RULE_FAILURE,,1.0,0.0,0,0.2,
