lemma,plural,stem_final,opportunity,ur,predicted_sr,attested_sr,category,normalisations,ipa_edit,feature_edit,rule_edit,total_distance,cluster
consentiment,consentimente,t,e,kunsəntimene,kunsəntimene,konsentimente,RULE_FAILURE,,3.0,3.0,0,2.1,
contestat,contestaturi,t,uri,kuntəstaturi,kuntəstaturj,kontestaturi,RULE_FAILURE,,3.0,0.0,0,0.6,
coperământ,coperăminte,t,e,koperəmɨnte,koperəmɨnte,koperəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
coraport,corapoarte,t,e,koraporte,koraporte,korapoarte,RULE_FAILURE,,1.0,0.0,0,0.2,
corectitate,corectitatăți,t,i,korektitaTi,korektitat͡sj,korektitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
corodașcă,corodắști,c,i,korodaʃKi,korodaʃtj,korodắʃti,SHCA_CLUSTER_DATA,,2.0,0.0,0,0.4,
corrida,corride,d,e,korridae,korridae,korride,RULE_FAILURE,,1.0,0.0,0,0.2,
corvadă,corvezi,d,i,korvaDi,korvazj,korvezi,RULE_FAILURE,,2.0,0.0,0,0.4,
corvoadă,corvezi,d,i,korvoaDi,korvoazj,korvezi,RULE_FAILURE,,3.0,0.0,0,0.6,
cosac,cosaci,c,i,kuzaKi,kuzat͡ʃj,kosat͡ʃi,RULE_FAILURE,,3.0,0.0,0,0.6,
costrică,costrele,c,e,kostriKe,kostrit͡ʃe,kostrele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
cot,coate,t,e,kote,kote,koate,RULE_FAILURE,,1.0,0.0,0,0.2,
cotorobușcă,cotorobuște,c,e,kotorobuʃKe,kotorobuʃte,kotorobuʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
cotrog,cotroage,g,e,kotroGe,kotrod͡ʒe,kotroad͡ʒe,RULE_FAILURE,,1.0,0.0,0,0.2,
covată,coveți,t,i,kovaTi,kovat͡sj,kovet͡si,RULE_FAILURE,,2.0,0.0,0,0.4,
covățică,covățele,c,e,,,kovət͡sele,UR_BUILD_FAILED,,,,,,
cozoroc,cozoroace,c,e,kozoroKe,kozorot͡ʃe,kozoroat͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
craioveancă,craiovence,c,e,krajoveanKe,krajoveant͡ʃe,kraiovent͡ʃe,RULE_FAILURE,,2.0,0.0,0,0.4,
cremșnit,cremșnituri,t,uri,kremʃnituri,kremʃniturj,kremʃnituri,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,1,0.3,
crenvirșt,crenvirști,t,i,krenvirʃTi,krenvirʃtj,krenvirʃti,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,2,0.6,
crenvurșt,crenvurști,t,i,krenvurʃTi,krenvurʃtj,krenvurʃti,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,2,0.6,
